69.0,106.0,1.5,980.0,8.0,2.1419928490889584,4.10097349924541
70.0,96.0,1.5,1000.0,5.0,0.9518497952811269,6.785666513824312
74.0,101.0,1.5,880.0,7.0,1.389400766976622,5.2428816687517905
72.0,96.0,1.5,740.0,5.0,0.889216490865038,9.029991426507125
71.0,98.0,1.5,990.0,6.0,1.1740436480952454,5.622394776067927
70.0,97.0,1.5,1000.0,8.0,1.4916209662613304,4.2361091815999075
70.0,96.0,1.5,940.0,8.0,1.4277746929216903,4.533223285251643
67.0,105.0,1.5,970.0,8.0,2.162172241180762,4.208882740653768
73.0,97.0,1.5,710.0,5.0,0.8998024014705741,9.297012155432466
72.0,98.0,1.5,700.0,6.0,1.1372502574141978,7.872944061811059
